Date,Open,High,Low,Close,Volume
2010-08-22,51.19,51.46,50.51,51.28,6285905.0
2010-08-15,50.27,50.38,49.65,49.74,3979716.0
2010-08-08,50.12,50.7,49.95,50.17,6680692.0
2010-08-01,47.58,48.42,47.45,48.22,9818321.0
2010-07-25,49.36,49.64,48.87,49.21,8234016.0
2010-07-18,49.25,49.29,48.42,48.54,9591728.0
2010-07-11,49.92,51.0,49.92,50.48,6955985.0
2010-07-04,51.53,51.81,48.79,49.58,0.0
2010-06-27,53.04,54.31,52.8,53.88,8480170.0
2010-06-20,53.86,54.23,53.57,54.06,10202893.0
2010-06-13,50.79,50.97,50.41,50.79,4276255.0
2010-06-06,49.14,49.9,48.63,48.82,9554737.0
2010-05-30,49.42,50.41,49.32,49.86,0.0
2010-05-23,46.17,47.72,45.88,47.21,17751806.0
2010-05-16,53.48,53.71,51.37,53.15,17432235.0
2010-05-09,49.67,50.45,48.41,49.13,16601917.0
2010-05-02,50.87,51.54,50.5,50.51,12779370.0
2010-04-25,47.21,48.3,46.68,48.21,9274716.0
2010-04-18,47.02,47.45,45.73,46.65,20726645.0
2010-04-11,48.66,49.11,48.21,48.68,9316722.0
2010-04-04,44.48,44.7,44.16,46.4,0.0
2010-03-28,43.16,43.94,42.75,43.71,12771631.0
2010-03-21,46.08,46.08,44.87,45.31,17280473.0
2010-03-14,45.58,45.83,44.75,44.99,9797460.0
2010-03-07,45.95,46.73,45.94,46.43,13823538.0
2010-02-28,43.81,44.04,43.09,43.89,10707050.0
2010-02-21,44.43,45.75,44.21,44.57,15116006.0
2010-02-14,42.59,44.23,42.32,43.94,0.0
2010-02-07,40.18,42.41,39.48,42.41,33038599.0
2010-01-31,42.0,42.5,40.53,40.72,22950037.0
2010-01-24,43.3,44.78,42.95,43.79,26244975.0
2010-01-17,48.78,48.93,48.02,47.42,0.0
2010-01-10,49.51,49.84,48.63,49.84,10721847.0
2010-01-03,46.01,46.2,45.59,46.21,0.0
2009-12-27,47.55,47.57,46.96,46.96,0.0
2009-12-20,45.55,46.3,44.98,46.29,15886902.0
2009-12-13,48.84,49.09,47.51,47.82,12583337.0
2009-12-06,52.5,52.57,49.48,50.69,31698519.0
2009-11-29,50.29,51.73,49.41,50.82,10088248.0
2009-11-22,50.27,50.91,49.79,50.82,12132150.0
2009-11-15,48.44,50.03,48.32,49.78,13424414.0
2009-11-08,47.0,48.39,46.76,47.62,14088475.0
2009-11-01,43.5,43.53,40.92,42.37,17396519.0
2009-10-25,47.81,47.92,46.36,46.69,9370087.0
2009-10-18,47.98,48.86,47.6,48.38,12171171.0
2009-10-11,48.29,48.76,47.63,48.29,9856627.0
2009-10-04,42.64,44.22,42.28,42.76,13271753.0
2009-09-27,43.27,43.74,42.67,43.07,10548581.0
2009-09-20,47.25,47.3,45.37,45.92,13010103.0
2009-09-13,46.67,47.28,45.67,46.09,16193608.0
2009-09-06,44.42,45.39,43.9,45.02,13294669.0
2009-08-30,40.21,40.63,39.77,40.18,5625102.0
2009-08-23,39.38,39.91,39.1,39.3,5601243.0
2009-08-16,40.16,40.2,38.8,39.21,4969862.0
2009-08-09,40.72,41.0,39.9,39.98,4096092.0
